Part_Desc_;Rework;Work_Order_Qty;Case ID;label;Activity;Resource;Report_Type;Resource.1;Qty_Completed;Qty_for_MRB;activity_duration;Complete Timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases;en_event;nr_cases;nr_past_events;nr_ongoing_cases;cr_cases_intensity;complete_cases_intensity;hour_day;day_week;day_month;month_year
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4529;D;Machine 4 - Turning & Milling;10;0;120.0;2012-01-02 16:00:00;960;1;0;16;120.0;540.0;3;8;15;6;1.0;18;0.041666666666666664;0;11.0;4.0;5.0;1.0
other;missing;36;Case246;deviant;Turning & Milling - Machine 9;ID4641;D;Machine 9 - Turning & Milling;10;0;420.0;2012-01-02 16:00:00;960;1;0;16;0.0;0.0;1;8;3;7;0.0;7;0;0;16.0;1.0;2.0;1.0
Spur Gear;missing;225;Case254;regular;Flat Grinding - Machine 11;ID0998;D;Machine 11 - Grinding;100;0;120.0;2012-01-02 16:00:00;960;1;0;16;225.0;225.0;2;8;7;7;0.0;48;0.013333333333333334;0;9.0;2.0;3.0;1.0
Cable Head;missing;3;Case277;deviant;Milling - Machine 16;ID4326;D;Machine 16 - Milling;3;0;510.0;2012-01-02 16:00:00;960;1;0;16;0.0;0.0;1;8;13;8;0.0;1;0;0;1.0;4.0;5.0;1.0
Spur Gear;missing;3;Case274;regular;Turning & Milling - Machine 8;ID4219;S;Machine 8 - Turning & Milling;1;0;342.0;2012-01-02 16:43:00;1003;1;0;16;0.0;0.0;1;9;13;9;0.0;41;0;0;1.0;4.0;5.0;1.0
Punch Holder;missing;350;Case188;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;144;0;60.0;2012-01-02 17:00:00;1020;1;0;17;60.0;250.0;4;9;21;9;0.0;48;0.08333333333333333;0;23.0;1.0;9.0;1.0
other;missing;40;Case255;regular;Turning - Machine 8;ID0997;D;Machine 15 - Turning;40;0;660.0;2012-01-02 18:00:00;1080;1;0;18;0.0;0.0;1;10;5;10;0.0;41;0;0;7.0;2.0;3.0;1.0
Housing;missing;46;Case153;regular;Round Grinding - Manual;ID4528;S;Machine 27 - Grinding;0;0;50.0;2012-01-02 19:50:00;1190;1;0;19;0.0;0.0;1;11;5;11;0.0;41;0;0;7.0;2.0;3.0;1.0
Housing;missing;46;Case153;regular;Round Grinding - Manual;ID4528;D;Machine 27 - Grinding;4;0;55.0;2012-01-02 20:45:00;1245;1;0;20;55.0;55.0;2;11;5;11;0.0;41;0;0;7.0;2.0;3.0;1.0
Cable Head;missing;150;Case271;deviant;Turning & Milling - Machine 5;ID4932;S;Machine 5 - Turning & Milling;0;0;53.0;2012-01-02 20:53:00;1253;1;0;20;0.0;0.0;1;12;5;12;0.0;19;0;0;7.0;2.0;3.0;1.0
Spur Gear;missing;20;Case236;regular;Round Grinding - Manual;ID4528;S;Machine 27 - Grinding;0;0;45.0;2012-01-02 21:30:00;1290;1;0;21;0.0;0.0;1;13;8;13;0.0;41;0;0;16.0;2.0;3.0;1.0
Cable Head;missing;150;Case271;deviant;Turning & Milling - Machine 5;ID4932;S;Machine 5 - Turning & Milling;0;0;161.0;2012-01-02 23:00:00;1380;1;0;23;127.0;127.0;2;13;5;13;0.0;19;0.007874015748031496;0;7.0;2.0;3.0;1.0
other;missing;36;Case246;deviant;Turning & Milling - Machine 9;ID3846;D;Machine 9 - Turning & Milling;7;0;460.0;2012-01-02 23:40:00;1420;1;0;23;460.0;460.0;2;13;3;13;1.0;7;0.017391304347826087;0;16.0;1.0;2.0;1.0
Spur Gear;missing;20;Case236;regular;Round Grinding - Manual;ID4528;D;Machine 27 - Grinding;0;0;105.0;2012-01-02 23:45:00;1425;1;0;23;135.0;135.0;2;13;8;13;0.0;41;0.014814814814814815;0;16.0;2.0;3.0;1.0
Cable Head;missing;17;Case185;regular;Turning & Milling - Machine 10;ID4132;D;Machine 10 - Grinding;2;0;75.0;2012-01-03 01:15:00;75;1;1;1;0.0;0.0;1;16;21;14;0.0;48;0;0;23.0;1.0;9.0;1.0
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;75.0;2012-01-03 01:15:00;75;1;1;1;0.0;0.0;1;16;9;15;0.0;2;0;0;1.0;3.0;4.0;1.0
Fastener;missing;313;Case237;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;179;0;75.0;2012-01-03 01:15:00;75;1;1;1;0.0;0.0;1;16;3;16;0.0;19;0;0;16.0;1.0;2.0;1.0
Cable Head;missing;3;Case277;deviant;Turning & Milling Q.C.;ID4493;D;Quality Check 1;3;0;75.0;2012-01-03 01:15:00;75;1;1;1;555.0;555.0;2;16;13;16;1.0;1;0.018018018018018018;0;1.0;4.0;5.0;1.0
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4794;D;Machine 4 - Turning & Milling;52;0;660.0;2012-01-03 07:00:00;420;1;1;7;900.0;1440.0;4;16;15;16;3.0;18;0.016666666666666666;0;11.0;4.0;5.0;1.0
Cable Head;missing;150;Case271;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;28;0;480.0;2012-01-03 07:00:00;420;1;1;7;480.0;607.0;3;16;5;16;0.0;19;0.014583333333333334;0;7.0;2.0;3.0;1.0
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;0;0;9.0;2012-01-03 07:43:00;463;1;1;7;43.0;1483.0;5;16;15;16;4.0;18;0.3488372093023256;0;11.0;4.0;5.0;1.0
Spur Gear;missing;20;Case236;regular;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;54.0;2012-01-03 07:44:00;464;1;1;7;479.0;614.0;3;16;8;16;0.0;41;0.014613778705636743;0;16.0;2.0;3.0;1.0
Spur Gear;missing;3;Case274;regular;Turning & Milling Q.C.;ID4287;D;Quality Check 1;0;0;95.0;2012-01-03 08:40:00;520;1;1;8;957.0;957.0;2;16;13;16;1.0;41;0.011494252873563218;0;1.0;4.0;5.0;1.0
Cable Head;missing;150;Case271;deviant;Turning & Milling - Machine 5;ID4429;B;Machine 5 - Turning & Milling;0;0;98.0;2012-01-03 08:43:00;523;1;1;8;103.0;710.0;4;16;5;16;3.0;19;0.07766990291262135;0;7.0;2.0;3.0;1.0
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4167;S;Machine 4 - Turning & Milling;1;0;74.0;2012-01-03 08:49:00;529;1;1;8;66.0;1549.0;6;16;15;16;4.0;18;0.22727272727272727;0;11.0;4.0;5.0;1.0
Electrical Contact;missing;320;Case238;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;94;0;87.0;2012-01-03 09:11:00;551;1;1;9;22.0;1571.0;7;16;15;16;4.0;18;0.6818181818181818;0;11.0;4.0;5.0;1.0
Spur Gear;missing;3;Case274;regular;Turning & Milling - Machine 8;ID4219;B;Machine 8 - Turning & Milling;0;0;193.0;2012-01-03 10:12:00;612;1;1;10;92.0;1049.0;3;16;13;16;2.0;41;0.11956521739130435;0;1.0;4.0;5.0;1.0
Spur Gear;missing;20;Case236;regular;Round Grinding - Manual;ID4872;D;Machine 27 - Grinding;0;0;290.0;2012-01-03 11:50:00;710;1;1;11;246.0;860.0;4;16;8;16;0.0;41;0.032520325203252036;0;16.0;2.0;3.0;1.0
Spur Gear;missing;3;Case274;regular;Turning & Milling - Machine 8;ID4219;D;Machine 8 - Turning & Milling;2;0;98.0;2012-01-03 11:51:00;711;1;1;11;99.0;1148.0;4;16;13;16;2.0;41;0.1111111111111111;0;1.0;4.0;5.0;1.0
Spur Gear;missing;3;Case274;regular;Turning & Milling Q.C.;ID4287;D;Quality Check 1;3;0;44.0;2012-01-03 12:14:00;734;1;1;12;23.0;1171.0;5;16;13;16;2.0;41;0.4782608695652174;0;1.0;4.0;5.0;1.0
Spur Gear;missing;3;Case274;regular;Flat Grinding - Machine 11;ID4872;D;Machine 11 - Grinding;3;0;40.0;2012-01-03 12:30:00;750;1;1;12;16.0;1187.0;6;16;13;16;2.0;41;0.6875;0;1.0;4.0;5.0;1.0
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;266.0;2012-01-03 12:50:00;770;1;1;12;695.0;695.0;2;16;9;16;1.0;2;0.008633093525179856;0;1.0;3.0;4.0;1.0
Fastener;missing;313;Case237;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;31;0;360.0;2012-01-03 13:00:00;780;1;1;13;705.0;705.0;2;16;3;16;1.0;19;0.00851063829787234;0;16.0;1.0;2.0;1.0
Spur Gear;missing;3;Case274;regular;Lapping - Machine 1;ID4872;D;Machine 1 - Lapping;3;0;60.0;2012-01-03 13:30:00;810;1;1;13;60.0;1247.0;7;16;13;16;2.0;41;0.18333333333333332;0;1.0;4.0;5.0;1.0
other;missing;36;Case246;deviant;Turning & Milling - Machine 9;ID4641;D;Machine 9 - Turning & Milling;14;0;75.0;2012-01-03 15:29:00;929;1;1;15;949.0;1409.0;3;15;3;15;2.0;7;0.012644889357218124;0;16.0;1.0;2.0;1.0
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;36;0;190.0;2012-01-03 15:35:00;935;1;1;15;165.0;860.0;3;15;9;15;2.0;2;0.03636363636363636;0.0011627906976744186;1.0;3.0;4.0;1.0
Cable Head;missing;150;Case271;deviant;Turning & Milling Q.C.;ID4493;D;Quality Check 1;0;0;492.0;2012-01-03 15:36:00;936;1;1;15;413.0;1123.0;5;14;5;14;3.0;19;0.01937046004842615;0.0008904719501335708;7.0;2.0;3.0;1.0
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;0;0;156.0;2012-01-03 15:56:00;956;1;1;15;21.0;881.0;4;14;9;14;2.0;2;0.2857142857142857;0.0022701475595913734;1.0;3.0;4.0;1.0
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;25.0;2012-01-03 16:00:00;960;1;1;16;4.0;885.0;5;17;9;14;2.0;2;1.5;0.0022598870056497176;1.0;3.0;4.0;1.0
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4529;D;Machine 6 - Turning & Milling;1;0;360.0;2012-01-03 16:00:00;960;1;1;16;0.0;0.0;1;17;28;15;0.0;41;0;0;1.0;1.0;16.0;1.0
Ballnut;missing;24;Case233;deviant;other;ID4641;D;Machine 9 - Turning & Milling;0;0;300.0;2012-01-03 16:00:00;960;1;1;16;0.0;0.0;1;17;4;16;0.0;4;0;0;17.0;1.0;2.0;1.0
Barrel;missing;32;Case250;regular;Milling - Machine 16;ID4326;S;Machine 16 - Milling;0;0;510.0;2012-01-03 16:00:00;960;1;1;16;0.0;0.0;1;17;14;17;0.0;41;0;0;9.0;4.0;5.0;1.0
Spur Gear;missing;3;Case274;regular;Round Grinding - Manual;ID4872;D;Machine 27 - Grinding;3;0;150.0;2012-01-03 16:00:00;960;1;1;16;150.0;1397.0;8;17;13;17;2.0;41;0.09333333333333334;0.0014316392269148174;1.0;4.0;5.0;1.0
Cable Head;missing;180;Case199;deviant;Round Grinding - Machine 2;ID4445;S;Machine 2 - Round Grinding;0;0;8.0;2012-01-03 16:05:00;965;1;1;16;5.0;890.0;6;17;9;17;2.0;2;1.8;0.0022471910112359553;1.0;3.0;4.0;1.0
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;31;0;350.0;2012-01-03 16:07:00;967;1;1;16;416.0;1987.0;8;17;15;17;7.0;18;0.04326923076923077;0.0010065425264217413;11.0;4.0;5.0;1.0
Cable Head;missing;30;Case219;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;15;0;69.0;2012-01-03 17:04:00;1024;1;1;17;0.0;0.0;1;18;7;18;0.0;3;0;0;9.0;2.0;3.0;1.0
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;S;Machine 8 - Turning & Milling;0;0;366.0;2012-01-03 17:58:00;1078;1;1;17;1858.0;1858.0;2;18;22;18;1.0;41;0.00914962325080732;0.001076426264800861;13.0;2.0;10.0;1.0
Spur Gear;missing;225;Case254;regular;Flat Grinding - Machine 11;ID0998;D;Machine 11 - Grinding;50;0;79.0;2012-01-03 18:23:00;1103;1;1;18;1583.0;1808.0;3;18;7;18;0.0;48;0.010739102969046115;0.0011061946902654867;9.0;2.0;3.0;1.0
Cable Head;missing;180;Case199;deviant;Round Grinding - Machine 2;ID4445;S;Machine 2 - Round Grinding;0;0;171.0;2012-01-03 18:58:00;1138;1;1;18;173.0;1063.0;7;18;9;18;2.0;2;0.06936416184971098;0.0018814675446848542;1.0;3.0;4.0;1.0
Ballnut;missing;24;Case233;deviant;other;ID3846;S;Machine 9 - Turning & Milling;2;0;269.0;2012-01-03 20:24:00;1224;1;1;20;264.0;264.0;2;18;4;18;0.0;4;0.026515151515151516;0;17.0;1.0;2.0;1.0
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4794;S;Machine 6 - Turning & Milling;1;0;50.0;2012-01-03 21:05:00;1265;1;1;21;305.0;305.0;2;18;28;18;0.0;41;0.02622950819672131;0;1.0;1.0;16.0;1.0
Cable Head;missing;180;Case199;deviant;Round Grinding - Machine 2;ID4445;D;Machine 2 - Round Grinding;9;0;198.0;2012-01-03 22:17:00;1337;1;1;22;199.0;1262.0;8;18;9;18;2.0;2;0.06030150753768844;0.001584786053882726;1.0;3.0;4.0;1.0
Spur Gear;missing;20;Case236;regular;Round Grinding - Manual;ID4528;D;Machine 27 - Grinding;16;0;460.0;2012-01-03 23:40:00;1420;1;1;23;710.0;1570.0;5;18;8;18;4.0;41;0.01971830985915493;0.0012738853503184713;16.0;2.0;3.0;1.0
Ballnut;missing;24;Case233;deviant;other;ID3846;D;Machine 9 - Turning & Milling;7;0;196.0;2012-01-03 23:41:00;1421;1;1;23;197.0;461.0;3;18;4;18;0.0;4;0.04568527918781726;0;17.0;1.0;2.0;1.0
other;missing;100;Case222;regular;Packing;ID4820;D;Packing;0;0;60.0;2012-01-04 01:00:00;60;1;2;1;0.0;0.0;1;18;1;19;0.0;41;0;0;4.0;1.0;2.0;1.0
Cable Head;missing;180;Case199;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;75.0;2012-01-04 01:15:00;75;1;2;1;178.0;1440.0;9;17;9;18;2.0;2;0.06741573033707865;0.0020833333333333333;1.0;3.0;4.0;1.0
Wheel Shaft;missing;20;Case201;deviant;Round Grinding - Q.C.;ID4493;D;Quality Check 1;13;0;75.0;2012-01-04 01:15:00;75;1;2;1;0.0;0.0;1;17;23;19;0.0;5;0;0;23.0;2.0;10.0;1.0
Wheel Shaft;missing;20;Case201;deviant;Turning & Milling Q.C.;ID4493;D;Quality Check 1;13;0;75.0;2012-01-04 01:15:00;75;1;2;1;0.0;0.0;2;17;23;19;0.0;5;0;0;23.0;2.0;10.0;1.0
Fastener;missing;313;Case237;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;131;0;75.0;2012-01-04 01:15:00;75;1;2;1;735.0;1440.0;3;17;3;18;1.0;19;0.017687074829931974;0.002777777777777778;16.0;1.0;2.0;1.0
Ballnut;missing;24;Case233;deviant;other;ID4932;D;Machine 9 - Turning & Milling;9;0;270.0;2012-01-04 04:34:00;274;1;2;4;293.0;754.0;4;16;4;17;0.0;4;0.034129692832764506;0.003978779840848806;17.0;1.0;2.0;1.0
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4794;D;Machine 4 - Turning & Milling;65;0;618.0;2012-01-04 06:32:00;392;1;2;6;865.0;2852.0;9;16;15;17;8.0;18;0.023121387283236993;0.0021037868162692847;11.0;4.0;5.0;1.0
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4794;D;Machine 6 - Turning & Milling;20;0;567.0;2012-01-04 06:33:00;393;1;2;6;568.0;873.0;3;16;28;17;0.0;41;0.017605633802816902;0.004581901489117984;1.0;1.0;16.0;1.0
Electrical Contact;missing;320;Case238;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;39.0;2012-01-04 07:29:00;449;1;2;7;57.0;2909.0;10;16;15;17;9.0;18;0.3508771929824561;0.002062564455139223;11.0;4.0;5.0;1.0
Cable Head;missing;153;Case266;deviant;Turning & Milling Q.C.;ID4163;D;Quality Check 1;0;0;100.0;2012-01-04 08:40:00;520;1;2;8;0.0;0.0;1;17;15;18;0.0;19;0;0;11.0;4.0;5.0;1.0
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;S;Machine 8 - Turning & Milling;1;0;139.0;2012-01-04 09:18:00;558;1;2;9;920.0;2778.0;3;17;22;18;2.0;41;0.020652173913043477;0.0021598272138228943;13.0;2.0;10.0;1.0
Compound Dies;missing;18;Case263;regular;Turning & Milling Q.C.;ID4287;D;Quality Check 1;0;0;60.0;2012-01-04 10:00:00;600;1;2;10;42.0;2820.0;4;17;22;18;3.0;41;0.4523809523809524;0.002127659574468085;13.0;2.0;10.0;1.0
Cable Head;missing;151;Case177;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;7;0;125.0;2012-01-04 10:25:00;625;1;2;10;0.0;0.0;1;18;6;19;0.0;48;0;0;8.0;2.0;3.0;1.0
Ballnut;missing;10;Case228;deviant;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;10;0;76.0;2012-01-04 10:51:00;651;1;2;10;0.0;0.0;1;19;3;20;0.0;6;0;0;16.0;1.0;2.0;1.0
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;B;Machine 8 - Turning & Milling;0;0;99.0;2012-01-04 11:00:00;660;1;2;11;60.0;2880.0;5;19;22;20;3.0;41;0.35;0.0020833333333333333;13.0;2.0;10.0;1.0
Spur Gear;missing;3;Case274;regular;Round Grinding - Q.C.;ID4287;D;Quality Check 1;3;0;62.0;2012-01-04 11:02:00;662;1;2;11;1142.0;2539.0;9;19;13;20;8.0;41;0.01838879159369527;0.0023631350925561244;1.0;4.0;5.0;1.0
Spur Gear;missing;225;Case254;regular;Flat Grinding - Machine 11;ID4882;D;Machine 11 - Grinding;75;0;86.0;2012-01-04 11:54:00;714;1;2;11;1051.0;2859.0;4;19;7;20;3.0;48;0.019980970504281638;0.002098635886673662;9.0;2.0;3.0;1.0
Spur Gear;missing;3;Case274;regular;Laser Marking - Machine 7;ID0998;D;Machine 7- Laser Marking;3;0;75.0;2012-01-04 12:20:00;740;1;2;12;78.0;2617.0;10;19;13;20;9.0;41;0.2692307692307692;0.0022927015666794038;1.0;4.0;5.0;1.0
Spur Gear;missing;3;Case274;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;0;0;97.0;2012-01-04 12:49:00;769;1;2;12;29.0;2646.0;11;19;13;20;9.0;41;0.7241379310344828;0.0022675736961451248;1.0;4.0;5.0;1.0
Spur Gear;missing;3;Case274;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;3;0;10.0;2012-01-04 13:30:00;810;1;2;13;41.0;2687.0;12;19;13;20;9.0;41;0.5121951219512195;0.002232973576479345;1.0;4.0;5.0;1.0
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4529;D;Machine 6 - Turning & Milling;15;0;450.0;2012-01-04 15:30:00;930;1;2;15;537.0;1410.0;4;19;28;20;0.0;41;0.024208566108007448;0.0028368794326241137;1.0;1.0;16.0;1.0
Cable Head;missing;13;Case208;deviant;Turning & Milling - Machine 10;ID4641;S;Machine 10 - Grinding;0;0;442.0;2012-01-04 15:57:00;957;1;2;15;0.0;0.0;1;20;8;21;0.0;4;0;0;16.0;2.0;3.0;1.0
Spur Gear;missing;225;Case254;regular;Final Inspection Q.C.;ID4618;D;Quality Check 1;0;0;31.0;2012-01-04 15:57:00;957;1;2;15;243.0;3102.0;5;20;7;21;4.0;48;0.09053497942386832;0.0019342359767891683;9.0;2.0;3.0;1.0
O-Ring;missing;9;Case265;regular;Turning - Machine 8;ID0997;S;Machine 15 - Turning;0;0;307.0;2012-01-04 15:59:00;959;1;2;15;0.0;0.0;1;21;16;22;0.0;48;0;0;1.0;1.0;9.0;1.0
Cable Head;missing;153;Case266;deviant;Turning & Milling - Machine 5;ID4429;S;Machine 5 - Turning & Milling;0;0;114.0;2012-01-04 16:09:00;969;1;2;16;449.0;449.0;2;21;15;22;1.0;19;0.017817371937639197;0;11.0;4.0;5.0;1.0
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;D;Machine 8 - Turning & Milling;11;0;321.0;2012-01-04 16:21:00;981;1;2;16;321.0;3201.0;6;21;22;22;3.0;41;0.07165109034267912;0.0018744142455482662;13.0;2.0;10.0;1.0
Spur Gear;missing;20;Case236;regular;Round Grinding - Manual;ID4528;D;Machine 27 - Grinding;4;0;44.0;2012-01-04 16:58:00;1018;1;2;16;1038.0;2608.0;6;21;8;22;4.0;41;0.019267822736030827;0.0023006134969325155;16.0;2.0;3.0;1.0
Housing;missing;46;Case153;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;0;0;37.0;2012-01-04 17:47:00;1067;1;2;17;2702.0;2757.0;3;21;5;22;2.0;41;0.007772020725388601;0.002176278563656148;7.0;2.0;3.0;1.0
Barrel;missing;32;Case250;regular;Milling - Machine 16;ID4326;S;Machine 16 - Milling;0;0;240.0;2012-01-04 18:00:00;1080;1;2;18;1560.0;1560.0;2;21;14;22;0.0;41;0.010256410256410256;0.002564102564102564;9.0;4.0;5.0;1.0
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;40;0;650.0;2012-01-04 18:03:00;1083;1;2;18;634.0;3543.0;11;21;15;22;10.0;18;0.03943217665615142;0.001693480101608806;11.0;4.0;5.0;1.0
Cable Head;missing;17;Case185;regular;Grinding Rework - Machine 27;ID4528;D;Machine 27 - Grinding;0;0;92.0;2012-01-04 18:31:00;1111;1;2;18;2476.0;2476.0;2;21;21;22;1.0;48;0.008077544426494346;0.0024232633279483036;23.0;1.0;9.0;1.0
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4794;D;Machine 4 - Turning & Milling;0;0;11.0;2012-01-04 20:18:00;1218;1;2;20;135.0;3678.0;12;21;15;22;11.0;18;0.18518518518518517;0.0016313213703099511;11.0;4.0;5.0;1.0
Cable Head;missing;13;Case208;deviant;Turning & Milling - Machine 10;ID3846;S;Machine 10 - Grinding;0;0;396.0;2012-01-04 22:34:00;1354;1;2;22;397.0;397.0;2;21;8;22;1.0;4;0.022670025188916875;0;16.0;2.0;3.0;1.0
Cable Head;missing;17;Case185;regular;Packing;ID4820;D;Packing;5;0;60.0;2012-01-05 01:00:00;60;1;3;1;0.0;2865.0;3;21;21;22;2.0;48;20;0.0020942408376963353;23.0;1.0;9.0;1.0
Cable Head;missing;17;Case185;regular;Packing;ID4820;D;Packing;0;0;60.0;2012-01-05 01:00:00;60;1;3;1;389.0;2865.0;4;21;21;22;3.0;48;0.05141388174807198;0.0020942408376963353;23.0;1.0;9.0;1.0
Gauge;missing;10;Case227;regular;Packing;ID4820;D;Packing;10;0;60.0;2012-01-05 01:00:00;60;1;3;1;0.0;0.0;1;21;2;23;0.0;48;0;0;11.0;1.0;2.0;1.0
Spur Gear;missing;3;Case274;regular;Packing;ID4820;D;Packing;3;0;60.0;2012-01-05 01:00:00;60;1;3;1;690.0;3377.0;13;21;13;22;12.0;41;0.034782608695652174;0.0017767249037607344;1.0;4.0;5.0;1.0
Spur Gear;missing;85;Case210;regular;Turning & Milling - Machine 6;ID4794;D;Machine 6 - Turning & Milling;18;0;619.0;2012-01-05 06:27:00;387;1;3;6;897.0;2307.0;5;21;28;22;;41;0.020066889632107024;0.002167316861725184;1.0;1.0;16.0;1.0
Cable Head;missing;153;Case266;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;117;0;651.0;2012-01-05 06:45:00;405;1;3;6;876.0;1325.0;3;21;15;22;2.0;19;0.01598173515981735;0.0007547169811320754;11.0;4.0;5.0;1.0
Electrical Contact;missing;320;Case238;deviant;Turning & Milling - Machine 4;ID4932;D;Machine 4 - Turning & Milling;67;0;627.0;2012-01-05 06:46:00;406;1;3;6;628.0;4306.0;13;21;15;22;12.0;18;0.041401273885350316;0.001625638643752903;11.0;4.0;5.0;1.0
Compound Dies;missing;18;Case263;regular;Turning & Milling - Machine 8;ID4219;D;Machine 8 - Turning & Milling;1;0;18.0;2012-01-05 07:06:00;426;1;3;7;885.0;4086.0;7;21;22;22;6.0;41;0.02711864406779661;0.0017131669114047968;13.0;2.0;10.0;1.0
